Country Name, Country Code, Indicator Name, Indicator Code, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
"Angola", "AGO", "Urban population (% of total population)", "SP.URB.TOTL.IN.ZS", "50.087", "51.274", "52.461", "53.645", "54.827", "56", "56.764", "57.524", "58.282", "59.034", "59.783", "60.528", "61.268", "62.002", "62.731", "63.446", "64.149", "64.839", "65.514", "66.177"
"Angola", "AGO", "Urban population", "SP.URB.TOTL", "8212003", "8688765", "9190862", "9721266", "10284524", "10882818", "11437892", "12025599", "12644651", "13291077", "13963065", "14660281", "15383123", "16130308", "16900844", "17691524", "18502164", "19332895", "20184724", "21061028"
"Angola", "AGO", "Urban population growth (annual %)", "SP.URB.GROW", "5.68176436901756", "5.64339473257092", "5.61789177735941", "5.61061273295664", "5.63243841376516", "5.65449742019371", "4.97464879942458", "5.0105924402647", "5.01966522581942", "4.98586279172289", "4.93227212928482", "4.87262349690642", "4.81291353028581", "4.74289874279112", "4.66635747013067", "4.57220933179748", "4.48020433880439", "4.39203509910461", "4.31180314839867", "4.24982377385174"
"Angola", "AGO", "Population, total", "SP.POP.TOTL", "16395477", "16945753", "17519418", "18121477", "18758138", "19433604", "20149905", "20905360", "21695636", "22514275", "23356247", "24220660", "25107925", "26015786", "26941773", "27884380", "28842482", "29816769", "30809787", "31825299"
"Angola", "AGO", "Population growth (annual %)", "SP.POP.GROW", "3.27721534718274", "3.30117378495335", "3.32926238194308", "3.37879436557856", "3.45298754865782", "3.53760476294198", "3.61958411912021", "3.68060116794567", "3.71055489102729", "3.70384181489182", "3.67149333263444", "3.63415021537353", "3.59775453949706", "3.55199742692341", "3.49744741099259", "3.43886936840162", "3.37826943218091", "3.32215836256296", "3.2761445879162", "3.24291402840967"
"Angola", "AGO", "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)", "SI.POV.DDAY", "36.4", "", "", "", "", "", "", "", "34.4", "", "", "", "", "", "", "", "", "", "49.9", ""
"Angola", "AGO", "Prevalence of underweight, weight for age (% of children under 5)", "SH.STA.MALN.ZS", "", "", "", "", "", "", "", "15.6", "", "", "", "", "", "", "", "19", "", "", "", ""
"Angola", "AGO", "Community health workers (per 1,000 people)", "SH.MED.CMHW.P3", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Mortality rate, under-5 (per 1,000 live births)", "SH.DYN.MORT", "203.9", "197.8", "190.9", "183.2", "174.6", "165.6", "156.2", "146.8", "137.4", "128.6", "120.3", "112.3", "105", "98.6", "93", "88.2", "84.2", "80.6", "77.7", "74.7"
"Angola", "AGO", "Primary completion rate, total (% of relevant age group)", "SE.PRM.CMPT.ZS", "", "", "", "", "", "", "", "", "39.1970100402832", "38.7875785827637", "39.8072090148926", "46.1871490478516", "", "", "", "", "", "", "", ""
"Angola", "AGO", "School enrollment, primary and secondary (gross), gender parity index (GPI)", "SE.ENR.PRSC.FM.ZS", "", "", "", "", "", "", "", "", "0.833090007305145", "0.823400020599365", "0.777629971504211", "0.630320012569427", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Agriculture, forestry, and fishing, value added (% of GDP)", "NV.AGR.TOTL.ZS", "5.66468956353548", "8.15637702246655", "5.8395499748266", "6.19838433868839", "6.25087653552132", "5.06040294790886", "5.19128018876127", "5.24227833734658", "4.80533931673356", "6.62119707047771", "6.18029318057362", "5.84568096888111", "6.06963007473451", "6.50749253992601", "7.5470567791822", "9.12253447070414", "9.83116860869255", "10.016995912763", "8.6077417624351", "6.66070380425936"
"Angola", "AGO", "CPIA public sector management and institutions cluster average (1=low to 6=high)", "IQ.CPA.PUBS.XQ", "", "", "", "", "", "2.4", "2.4", "2.4", "2.4", "2.4", "2.4", "2.3", "2.3", "2.3", "", "", "", "", "", ""
"Angola", "AGO", "Ease of doing business index (1=most business-friendly regulations)", "IC.BUS.EASE.XQ", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "177"
"Angola", "AGO", "Terrestrial and marine protected areas (% of total territorial area)", "ER.PTD.TOTL.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "5.00471334206571", "5.00471082728009", "5.00471082728009", ""
"Angola", "AGO", "Marine protected areas (% of territorial waters)", "ER.MRN.PTMR.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "0.004860726", "0.00492982714246822", "0.00492982714246822", ""
"Angola", "AGO", "Terrestrial protected areas (% of total land area)", "ER.LND.PTLD.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "6.97", "6.97142669594584", "6.97142669594584", ""
"Angola", "AGO", "Annual freshwater withdrawals, total (% of internal resources)", "ER.H2O.FWTL.ZS", "", "", "0.450351351351351", "", "", "", "", "0.476824324324324", "", "", "", "", "0.476824324324324", "", "", "", "", "0.476824324324324", "", ""
"Angola", "AGO", "Annual freshwater withdrawals, total (billion cubic meters)", "ER.H2O.FWTL.K3", "", "", "0.66652", "", "", "", "", "0.7057", "", "", "", "", "0.7057", "", "", "", "", "0.7057", "", ""
