Country Name, Country Code, Indicator Name, Indicator Code, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
"Angola", "AGO", "Population ages 15-64 (% of total population)", "SP.POP.1564.TO.ZS", "50.2332869567105", "50.2413082499196", "50.2959830227227", "50.38343172762", "50.4863247405327", "50.5896230662746", "50.549459275259", "50.5390889409574", "50.5456950462936", "50.5645994202524", "50.5976302869905", "50.5080352679062", "50.4679776282642", "50.4717924862605", "50.5197967810515", "50.6151669639", "50.6856291078069", "50.8077871356001", "50.9747016426956", "51.17863322241"
"Angola", "AGO", "Population ages 0-14 (% of total population)", "SP.POP.0014.TO.ZS", "47.1998337589894", "47.1839581280336", "47.1271104512211", "47.0452439340078", "46.9589397032596", "46.8840207800901", "46.9468311531655", "46.9903823243825", "47.0222534174387", "47.0409736824374", "47.0416136223261", "47.1445349901888", "47.1960194569596", "47.2054250456675", "47.1771593108235", "47.108971147683", "47.0533524343201", "46.9530162996215", "46.8089247095412", "46.6220250275763"
"Angola", "AGO", "Unemployment, total (% of total labor force) (modeled ILO estimate)", "SL.UEM.TOTL.ZS", "3.87", "3.85", "3.88", "3.88", "3.85", "3.81", "3.73", "3.66", "3.63", "3.78", "9.43", "7.36", "7.37", "7.38", "7.31", "7.26", "7.2", "7.1", "7", "6.93"
"Angola", "AGO", "Unemployment, male (% of male labor force) (modeled ILO estimate)", "SL.UEM.TOTL.MA.ZS", "4.89", "4.86", "4.79", "4.88", "4.77", "4.68", "4.64", "4.52", "4.49", "4.71", "7.95", "7.01", "6.93", "6.99", "6.91", "6.88", "6.9", "6.78", "6.72", "6.63"
"Angola", "AGO", "Unemployment, female (% of female labor force) (modeled ILO estimate)", "SL.UEM.TOTL.FE.ZS", "2.8", "2.81", "2.94", "2.84", "2.91", "2.92", "2.81", "2.8", "2.77", "2.85", "10.92", "7.72", "7.81", "7.78", "7.71", "7.65", "7.5", "7.41", "7.28", "7.22"
"Angola", "AGO", "Labor force, total", "SL.TLF.TOTL.IN", "6712513", "6936309", "7167727", "7418810", "7682021", "7959563", "8244254", "8546323", "8866363", "9209589", "9560071", "9909983", "10270960", "10647313", "11035035", "11438809", "11848867", "12269167", "12705661", "13155275"
"Angola", "AGO", "Labor force, female (% of total labor force)", "SL.TLF.TOTL.FE.ZS", "49.0073687753007", "49.0842896416524", "49.1826627883568", "49.2672005348567", "49.3646658867504", "49.4761584272905", "49.5635990836769", "49.6562556786117", "49.7378462848859", "49.7876398175858", "49.8501109458288", "49.8665133936153", "49.9128416428455", "49.9564819781291", "50.0088581504273", "50.0503242951255", "50.0976844452723", "50.1536167858829", "50.2029056182122", "50.2702756118743"
"Angola", "AGO", "Probability of dying among youth ages 20-24 years (per 1,000)", "SH.DYN.2024", "36.7", "36", "35.2", "34.3", "33.2", "32.1", "31", "29.8", "28.5", "27.4", "26.2", "25.1", "24.1", "23.2", "22.3", "21.6", "21", "20.4", "19.9", "19.4"
"Angola", "AGO", "Probability of dying among adolescents ages 15-19 years (per 1,000)", "SH.DYN.1519", "24.9", "24.4", "23.8", "23.2", "22.5", "21.7", "20.9", "20", "19.2", "18.3", "17.5", "16.8", "16", "15.4", "14.8", "14.3", "13.9", "13.5", "13.1", "12.8"
"Angola", "AGO", "Probability of dying among adolescents ages 10-14 years (per 1,000)", "SH.DYN.1014", "12.8", "12.6", "12.3", "11.9", "11.5", "11.1", "10.7", "10.2", "9.7", "9.3", "8.8", "8.4", "8", "7.6", "7.3", "7", "6.8", "6.6", "6.4", "6.2"
