Country Name, Country Code, Indicator Name, Indicator Code, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
"Angola", "AGO", "International migrant stock (% of population)", "SM.POP.TOTL.ZS", "0.30618970985291", "", "", "", "", "0.342372570625194", "", "", "", "", "0.36074065005042", "", "", "", "", "0.427004679966497", "", "", "", ""
"Angola", "AGO", "International migrant stock, total", "SM.POP.TOTL", "46108", "", "", "", "", "61329", "", "", "", "", "76549", "", "", "", "", "106845", "", "", "", ""
"Angola", "AGO", "Net migration", "SM.POP.NETM", "", "", "261100", "", "", "", "", "357301", "", "", "", "", "166267", "", "", "", "", "32066", "", ""
"Angola", "AGO", "Average transaction cost of sending remittances from a specific country (%)", "SI.RMT.COST.OB.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "16.6880570409982", "27.6412546634674", "26.9406914710998", "16.053331"
"Angola", "AGO", "Average transaction cost of sending remittances to a specific country (%)", "SI.RMT.COST.IB.ZS", "", "", "", "", "", "", "", "", "", "", "", "17.8831857948957", "20.339016631551", "18.59", "19.5532811757961", "16.5917021542378", "16.4860928649624", "18.7036067247391", "19.3716868758202", "19.52031"
"Angola", "AGO", "Real effective exchange rate index (2010 = 100)", "PX.REX.REER", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Official exchange rate (LCU per US$, period average)", "PA.NUS.FCRF", "10.0405441666667", "22.0578616666667", "43.5302066666667", "74.6063008333333", "83.5413625", "87.1591416666667", "80.3680720555556", "76.70614275", "75.0333541666667", "79.3281666666667", "91.9057203405018", "93.93475", "95.467955421311", "96.5182794791526", "98.3024168556335", "120.060701665019", "163.656434116579", "165.915950691498", "252.855747731297", "364.825804980887"
"Angola", "AGO", "DEC alternative conversion factor (LCU per US$)", "PA.NUS.ATLS", "10.0405", "22.0579", "43.5302", "74.6063", "83.5414", "87.1591", "80.3681", "76.7061", "75.0334", "79.3282", "91.9057", "93.9348", "95.468", "96.5183", "98.3024", "120.0607", "163.6564", "165.916", "252.8557", "364.8258"
"Angola", "AGO", "GDP deflator: linked series (base year varies by country)", "NY.GDP.DEFL.ZS.AD", "19.9856539088366", "41.2408216362481", "100.000001968785", "193.926858257732", "258.776346106944", "368.434273474669", "431.503212037768", "450.094163436159", "537.27704550001", "447.223599061626", "591.513326986809", "779.44627462551", "836.000327672442", "859.740973614853", "890.354809013781", "859.028686612548", "1046.07565465829", "1282.64055421391", "1655.4522739637", "2120.48002776891"
"Angola", "AGO", "Inflation, GDP deflator: linked series (annual %)", "NY.GDP.DEFL.KD.ZG.AD", "418.018991534099", "106.352125501451", "142.4782", "93.9268544397287", "33.4401786487082", "42.3755606018204", "17.1180976102743", "4.30841552965401", "19.3699205957861", "-16.7610820511749", "32.2634423201135", "31.7715491882555", "7.25567045324638", "2.83978907143596", "3.56082079817712", "-3.51838638754951", "21.7742400179127", "22.6145115319501", "29.0659544893525", "28.0906771592866"
"Angola", "AGO", "Strength of legal rights index (0=weak to 12=strong)", "IC.LGL.CRED.XQ", "", "", "", "", "", "", "", "", "", "", "", "", "", "1", "1", "1", "1", "1", "1", "1"
"Angola", "AGO", "Public credit registry coverage (% of adults)", "IC.CRD.PUBL.ZS", "", "", "", "", "1.8", "2.9", "2.9", "2.3", "2.7", "2.5", "2.4", "1.8", "1.8", "2.4", "1.8", "3.3", "1.9", "1.9", "1.6", "1.5"
"Angola", "AGO", "Private credit bureau coverage (% of adults)", "IC.CRD.PRVT.ZS", "", "", "", "", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0"
"Angola", "AGO", "Depth of credit information index (0=low to 8=high)", "IC.CRD.INFO.XQ", "", "", "", "", "", "", "", "", "", "", "", "", "", "0", "0", "0", "0", "0", "0", "0"
"Angola", "AGO", "Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)", "FX.OWN.TOTL.ZS", "", "", "", "", "", "", "", "", "", "", "", "39.203540802002", "", "", "29.3181209564209", "", "", "", "", ""
"Angola", "AGO", "Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)", "FX.OWN.TOTL.YG.ZS", "", "", "", "", "", "", "", "", "", "", "", "30.4581966400146", "", "", "14.8649616241455", "", "", "", "", ""
"Angola", "AGO", "Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)", "FX.OWN.TOTL.SO.ZS", "", "", "", "", "", "", "", "", "", "", "", "44.3468704223633", "", "", "70.254638671875", "", "", "", "", ""
"Angola", "AGO", "Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)", "FX.OWN.TOTL.PL.ZS", "", "", "", "", "", "", "", "", "", "", "", "34.818920135498", "", "", "14.3491077423096", "", "", "", "", ""
"Angola", "AGO", "Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)", "FX.OWN.TOTL.OL.ZS", "", "", "", "", "", "", "", "", "", "", "", "44.6504669189453", "", "", "37.697322845459", "", "", "", "", ""
"Angola", "AGO", "Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)", "FX.OWN.TOTL.MA.ZS", "", "", "", "", "", "", "", "", "", "", "", "39.4809684753418", "", "", "36.1321296691895", "", "", "", "", ""
"Angola", "AGO", "Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)", "FX.OWN.TOTL.FE.ZS", "", "", "", "", "", "", "", "", "", "", "", "38.9283447265625", "", "", "22.3316459655762", "", "", "", "", ""
"Angola", "AGO", "Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)", "FX.OWN.TOTL.60.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "40.4596481323242", "", "", "", "", ""
"Angola", "AGO", "Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)", "FX.OWN.TOTL.40.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "12.5435409545898", "", "", "", "", ""
"Angola", "AGO", "Domestic credit to private sector (% of GDP)", "FS.AST.PRVT.GD.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "25.2401085779773", "21.0984093601159", "17.0006849694405", "14.9410024952067", "14.2891012267674"
"Angola", "AGO", "Domestic credit provided by financial sector (% of GDP)", "FS.AST.DOMS.GD.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "27.0509238028826", "27.5431418085031", "29.7962479483684", "25.2812653692608", "22.8413368024878"
"Angola", "AGO", "Claims on other sectors of the domestic economy (% of GDP)", "FS.AST.DOMO.GD.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "25.8278431642764", "21.6146935779956", "17.5226122317668", "15.3341708523513", "14.7639710584675"
"Angola", "AGO", "Claims on central government, etc. (% GDP)", "FS.AST.CGOV.GD.ZS", "-17.1543070024906", "-4.41964622891795", "0.389251100897976", "0.806665782909535", "0.604537762607415", "-2.77633932552589", "-10.8897729532615", "-8.57454311316102", "-4.02673128176827", "7.12227012202219", "-2.88915743256432", "-4.25085272824118", "-7.70793295590599", "-5.04394638929304", "0.482875925123947", "1.22308063860621", "5.92844823050744", "12.2736357166015", "9.94709451690956", "8.07736574402035"
"Angola", "AGO", "Risk premium on lending (lending rate minus treasury bill rate, %)", "FR.INR.RISK", "", "", "", "", "30.1575", "36.0914640703017", "11.6508144527911", "", "", "", "11.7235720221269", "11.8314349810201", "13.209179099001", "12.744020240031", "12.102965385581", "9.67804295543776", "0.688596531704201", "-0.541816285341199", "7.5455456943824", "6.210992205655"
"Angola", "AGO", "Real interest rate (%)", "FR.INR.RINR", "-60.7813270387995", "-5.03293321688833", "-33.5534024054014", "1.12833550907278", "36.6411290160783", "17.799803581475", "2.04299496946991", "12.8373343636254", "-5.72699956739724", "38.975946691856", "-7.34887140957809", "-9.87641773345694", "8.7647868203618", "12.6107310616342", "12.3805991919921", "21.1441828381684", "-4.92200655731416", "-5.5526960598383", "-6.49973921846974", "-6.86647158769736"
"Angola", "AGO", "Interest rate spread (lending rate minus deposit rate, %)", "FR.INR.LNDP", "63.581774166667", "48.0577691666666", "48.645", "69.9425", "66.8948211396924", "54.3196341212746", "15.0104852432956", "10.9424019151673", "5.99552815902014", "8.09270762786137", "9.787272833293", "12.4480088762996", "13.0527610544736", "12.6635675597103", "12.8553065236728", "13.5672422196748", "10.2361858142293", "9.4639071500616", "13.8003469577253", "12.8799653762689"
