Country Name, Country Code, Indicator Name, Indicator Code, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
"Angola", "AGO", "Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)", "SP.MTR.1519.ZS", "", "", "", "", "", "", "", "28.6", "", "", "", "42.5", "", "", "", "", "34.5", "", "", ""
"Angola", "AGO", "Women who were first married by age 18 (% of women ages 20-24)", "SP.M18.2024.FE.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "30.3", "", "", ""
"Angola", "AGO", "Women who were first married by age 15 (% of women ages 20-24)", "SP.M15.2024.FE.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "7.9", "", "", ""
"Angola", "AGO", "Female headed households (% of households with a female head)", "SP.HOU.FEMA.ZS", "", "", "", "", "", "", "", "24.8", "", "", "", "21.7", "", "", "", "", "34.5", "", "", ""
"Angola", "AGO", "Wanted fertility rate (births per woman)", "SP.DYN.WFRT", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "5.2", "", "", ""
"Angola", "AGO", "Survival to age 65, male (% of cohort)", "SP.DYN.TO65.MA.ZS", "34.5373672", "35.0034726", "35.469578", "36.525852", "37.582126", "38.6384", "39.694674", "40.750948", "42.0637626", "43.3765772", "44.6893918", "46.0022064", "47.315021", "47.9789558", "48.6428906", "49.3068254", "49.9707602", "50.634695", "51.1369686", "51.6392422"
"Angola", "AGO", "Survival to age 65, female (% of cohort)", "SP.DYN.TO65.FE.ZS", "43.4219222", "44.1097596", "44.797597", "46.1644822", "47.5313674", "48.8982526", "50.2651378", "51.632023", "53.2021724", "54.7723218", "56.3424712", "57.9126206", "59.48277", "60.3193652", "61.1559604", "61.9925556", "62.8291508", "63.665746", "64.186799", "64.707852"
"Angola", "AGO", "Fertility rate, total (births per woman)", "SP.DYN.TFRT.IN", "6.639", "6.601", "6.567", "6.533", "6.499", "6.461", "6.419", "6.372", "6.32", "6.26", "6.194", "6.12", "6.039", "5.953", "5.864", "5.774", "5.686", "5.6", "5.519", "5.442"
"Angola", "AGO", "Life expectancy at birth, male (years)", "SP.DYN.LE00.MA.IN", "44.466", "44.966", "45.567", "46.261", "47.038", "47.893", "48.821", "49.807", "50.826", "51.85", "52.848", "53.79", "54.66", "55.447", "56.14", "56.737", "57.242", "57.677", "58.064", "58.416"
"Angola", "AGO", "Life expectancy at birth, female (years)", "SP.DYN.LE00.FE.IN", "48.736", "49.317", "50.005", "50.789", "51.661", "52.614", "53.642", "54.726", "55.839", "56.953", "58.033", "59.052", "59.992", "60.841", "61.591", "62.237", "62.783", "63.252", "63.666", "64.039"
"Angola", "AGO", "Contraceptive prevalence, any methods (% of women ages 15-49)", "SP.DYN.CONU.ZS", "", "6.3", "", "", "", "", "", "", "", "17.7", "", "", "", "", "", "", "13.7", "", "", ""
"Angola", "AGO", "Mortality rate, adult, male (per 1,000 male adults)", "SP.DYN.AMRT.MA", "408.217", "397.919", "387.622", "376.772", "365.922", "355.073", "344.223", "333.373", "324.524", "315.675", "306.825", "297.976", "289.127", "285.989", "282.85", "279.712", "276.573", "273.435", "327.044", "323.091"
"Angola", "AGO", "Mortality rate, adult, female (per 1,000 female adults)", "SP.DYN.AMRT.FE", "334.646", "324.339", "314.033", "303.361", "292.69", "282.019", "271.347", "260.676", "251.656", "242.637", "233.617", "224.597", "215.577", "212.458", "209.339", "206.219", "203.1", "199.981", "220.291", "216.821"
