Country Name, Country Code, Indicator Name, Indicator Code, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
"Angola", "AGO", "ICT goods exports (% of total goods exports)", "TX.VAL.ICTG.ZS.UN", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "0.0240267639", "0.0306571653", "0.0183904925", "0.0129258983", ""
"Angola", "AGO", "ICT goods imports (% total goods imports)", "TM.VAL.ICTG.ZS.UN", "", "", "", "", "", "", "", "4.5142995927", "", "3.0047461227", "3.0187373057", "3.753755282", "3.7972159284", "3.0126733229", "2.8418049562", "2.8717367811", "2.2952648863", "2.4538252266", "2.5160169523", ""
"Angola", "AGO", "Individuals using the Internet (% of population)", "IT.NET.USER.ZS", "0.105045562", "0.136013867", "0.270376746", "0.370682065", "0.464814618", "1.143366827", "1.5", "1.7", "1.9", "2.3", "2.8", "3.1", "6.5", "8.9", "21.4", "29", "29", "32", "35", "36"
"Angola", "AGO", "Secure Internet servers (per 1 million people)", "IT.NET.SECR.P6", "", "", "", "", "", "", "", "", "", "", "1.2844529345832", "1.85791799232556", "3.18624498041953", "4.57414586666726", "5.93873313385871", "8.14075837440173", "8.32105919317207", "10.7992921701208", "11.1977405101827", "14.7367036520222"
"Angola", "AGO", "Secure Internet servers", "IT.NET.SECR", "", "", "", "", "", "", "", "", "", "", "30", "45", "80", "119", "160", "227", "240", "322", "345", "469"
"Angola", "AGO", "Fixed broadband subscriptions (per 100 people)", "IT.NET.BBND.P2", "", "", "", "", "", "", "0.037012589", "0.0559665", "0.073480222", "0.066624379", "0.064222649", "0.06530375", "0.081695302", "0.085648015", "0.325702323", "0.550742009", "0.293747187", "0.325048666", "0.355604536", "0.374130075"
"Angola", "AGO", "Fixed broadband subscriptions", "IT.NET.BBND", "", "", "", "", "", "", "7458", "11700", "15942", "15000", "15000", "15817", "20512", "22282", "87750", "153571", "84724", "96919", "109561", "119068"
"Angola", "AGO", "Fixed telephone subscriptions (per 100 people)", "IT.MLT.MAIN.P2", "0.395840974", "0.453210902", "0.45777779", "0.469293925", "0.502608334", "0.497900492", "0.487173609", "0.451051723", "0.526815672", "1.346607515", "1.203626644", "0.658466753", "0.829797565", "0.82622928", "1.066804089", "1.021808589", "1.055709859", "0.54019943", "0.557803272", "0.391908386"
"Angola", "AGO", "Fixed telephone subscriptions", "IT.MLT.MAIN", "64900", "76800", "80200", "85043", "94280", "96760", "98165", "94294", "114296", "303179", "281122", "159485", "208345", "214950", "287416", "284925", "304493", "161070", "171858", "124726"
"Angola", "AGO", "Mobile cellular subscriptions (per 100 people)", "IT.CEL.SETS.P2", "0.157397106", "0.442588771", "0.799113349", "1.931409682", "3.944952979", "8.290372521", "15.15947895", "23.73331666", "31.21990351", "36.01900945", "40.26060095", "49.84677338", "50.92059955", "51.06592034", "52.15898327", "49.79322295", "45.07629005", "44.68610714", "43.13051888", "46.59863797"
"Angola", "AGO", "Mobile cellular subscriptions", "IT.CEL.SETS", "25806", "75000", "140000", "350000", "740000", "1611118", "3054620", "4961536", "6773356", "8109421", "9403365", "12073218", "12785109", "13285198", "14052558", "13884532", "13001124", "13323952", "13288421", "14830154"
"Angola", "AGO", "Container port traffic (TEU: 20 foot equivalent units)", "IS.SHP.GOOD.TU", "", "", "", "", "", "", "", "", "", "", "583300", "631250", "830000", "913000", "1000000", "956500", "978250", "570200", "774225", "672212.5"
"Angola", "AGO", "Liner shipping connectivity index (maximum value in 2004 = 100)", "IS.SHP.GCNW.XQ", "", "", "", "", "9.67", "10.46", "14.5390550588", "13.8550695936", "15.6503000086", "16.2560804001", "16.7902381694", "17.3506681878", "17.5424266562", "21.6095155045", "21.7283665413", "22.2305388427", "26.7775489792", "23.4463595731", "25.1572287867", "25.8626087565"
"Angola", "AGO", "Rail lines (total route-km)", "IS.RRS.TOTL.KM", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Railways, passengers carried (million passenger-km)", "IS.RRS.PASG.KM", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Railways, goods transported (million ton-km)", "IS.RRS.GOOD.MT.K6", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Air transport, passengers carried", "IS.AIR.PSGR", "235448", "193317", "189619", "198253", "222032", "239795", "262666", "277361", "283887", "274869", "1010194", "987798", "1132424", "1321872", "1409952", "1244491", "1482546", "1375523", "1516628", "1436959"
"Angola", "AGO", "Air transport, freight (million ton-km)", "IS.AIR.GOOD.MT.K1", "60.611", "50.818", "51.298", "56.455", "63.692", "68.112", "80.997", "72.888", "70.934", "64.323", "47.908", "50.973", "70.977", "70.431", "65.517", "46.043", "43.940435", "67.32035", "78.15964", "68.04358"
"Angola", "AGO", "Air transport, registered carrier departures worldwide", "IS.AIR.DPRT", "4399", "4354", "4343", "4633", "4849", "4948", "4965", "5277", "3361", "3236", "17060", "12282", "13072", "14496", "13716", "13116", "15482", "13494", "13978", "13647"
"Angola", "AGO", "Trademark applications, resident, by count", "IP.TMK.RSCT", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "1585", "1724", "2354", "2604"
"Angola", "AGO", "Trademark applications, nonresident, by count", "IP.TMK.NRCT", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2019", "1622", "1763", "1729"
"Angola", "AGO", "Industrial design applications, resident, by count", "IP.IDS.RSCT", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Industrial design applications, nonresident, by count", "IP.IDS.NRCT", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Public private partnerships investment in water and sanitation (current US$)", "IE.PPN.WATR.CD", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Public private partnerships investment in transport (current US$)", "IE.PPN.TRAN.CD", "", "", "", "", "", "", "", "53000000", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Public private partnerships investment in ICT (current US$)", "IE.PPN.ICTI.CD", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Public private partnerships investment in energy (current US$)", "IE.PPN.ENGY.CD", "", "", "", "45000000", "", "", "9400000", "", "", "120000000", "", "", "", "", "", "", "", "112000000", "", ""
"Angola", "AGO", "Investment in water and sanitation with private participation (current US$)", "IE.PPI.WATR.CD", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
