Country Name, Country Code, Indicator Name, Indicator Code, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
"Angola", "AGO", "Annualized average growth rate in per capita real survey mean consumption or income, total population (%)", "SI.SPR.PCAP.ZG", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Survey mean consumption or income per capita, total population (2011 PPP $ per day)", "SI.SPR.PCAP", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)", "SI.SPR.PC40.ZG", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)", "SI.SPR.PC40", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Poverty gap at $5.50 a day (2011 PPP) (%)", "SI.POV.UMIC.GP", "47.3", "", "", "", "", "", "", "", "46.2", "", "", "", "", "", "", "", "", "", "56.6", ""
"Angola", "AGO", "Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)", "SI.POV.UMIC", "80.5", "", "", "", "", "", "", "", "82.9", "", "", "", "", "", "", "", "", "", "88.5", ""
"Angola", "AGO", "Poverty headcount ratio at national poverty lines (% of population)", "SI.POV.NAHC", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "32.3", ""
"Angola", "AGO", "Multidimensional poverty index (scale 0-1)", "SI.POV.MDIM.XQ", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "0.264", "", "", "", ""
"Angola", "AGO", "Multidimensional poverty headcount ratio, male (% of male population)", "SI.POV.MDIM.MA", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Multidimensional poverty intensity (average share of deprivations experienced by the poor)", "SI.POV.MDIM.IT", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "48.9", "", "", "", ""
"Angola", "AGO", "Multidimensional poverty headcount ratio, household (% of total households)", "SI.POV.MDIM.HH", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Multidimensional poverty headcount ratio, female (% of female population)", "SI.POV.MDIM.FE", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Multidimensional poverty index, children (population ages 0-17) (scale 0-1)", "SI.POV.MDIM.17.XQ", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "0.326", "", "", "", ""
"Angola", "AGO", "Multidimensional poverty headcount ratio, children (% of population ages 0-17)", "SI.POV.MDIM.17", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "64.3", "", "", "", ""
"Angola", "AGO", "Multidimensional poverty headcount ratio (% of total population)", "SI.POV.MDIM", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "54", "", "", "", ""
"Angola", "AGO", "Poverty gap at $3.20 a day (2011 PPP) (%)", "SI.POV.LMIC.GP", "29.6", "", "", "", "", "", "", "", "26.6", "", "", "", "", "", "", "", "", "", "38.7", ""
"Angola", "AGO", "Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)", "SI.POV.LMIC", "59.7", "", "", "", "", "", "", "", "60.6", "", "", "", "", "", "", "", "", "", "71.5", ""
"Angola", "AGO", "Gini index (World Bank estimate)", "SI.POV.GINI", "52", "", "", "", "", "", "", "", "42.7", "", "", "", "", "", "", "", "", "", "51.3", ""
"Angola", "AGO", "Poverty gap at $1.90 a day (2011 PPP) (%)", "SI.POV.GAPS", "16.4", "", "", "", "", "", "", "", "11.6", "", "", "", "", "", "", "", "", "", "22.7", ""
"Angola", "AGO", "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)", "SI.POV.DDAY", "36.4", "", "", "", "", "", "", "", "34.4", "", "", "", "", "", "", "", "", "", "49.9", ""
