Country Name, Country Code, Indicator Name, Indicator Code, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
"Angola", "AGO", "Intentional homicides (per 100,000 people)", "VC.IHR.PSRC.P5", "", "", "", "", "", "", "", "", "", "", "", "4.3557855153", "4.8470751765", "", "", "", "", "", "", ""
"Angola", "AGO", "Intentional homicides, male (per 100,000 male)", "VC.IHR.PSRC.MA.P5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Intentional homicides, female (per 100,000 female)", "VC.IHR.PSRC.FE.P5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Internally displaced persons, total displaced by conflict and violence (number of people)", "VC.IDP.TOCV", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Internally displaced persons, new displacement associated with disasters (number of cases)", "VC.IDP.NWDS", "", "", "", "", "", "", "", "", "", "86000", "79000", "227000", "6400", "2500", "", "5600", "19000", "14000", "11000", "6700"
"Angola", "AGO", "Internally displaced persons, new displacement associated with conflict and violence (number of cases)", "VC.IDP.NWCV", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Battle-related deaths (number of people)", "VC.BTL.DETH", "943", "1123", "521", "25", "25", "", "", "25", "", "25", "", "", "", "", "", "", "25", "25", "", "25"
"Angola", "AGO", "Proportion of seats held by women in national parliaments (%)", "SG.GEN.PARL.ZS", "15.4545454545455", "15.4545454545455", "15.4545454545455", "15.4545454545455", "15", "15", "15", "15", "37.2727272727273", "38.6363636363636", "38.6363636363636", "38.1818181818182", "34.0909090909091", "34.0909090909091", "36.8181818181818", "36.8181818181818", "36.8181818181818", "30.4545454545455", "30.4545454545455", "30"
"Angola", "AGO", "Arms exports (SIPRI trend indicator values)", "MS.MIL.XPRT.KD", "", "", "2000000", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Military expenditure (% of general government expenditure)", "MS.MIL.XPND.ZS", "12.8833216075983", "10.7886306722638", "9.19173249002421", "10.934564719985", "11.647001444409", "13.9189386804869", "12.2908861158394", "8.16725533071883", "6.78449029078347", "10.4641587891309", "10.6044905350185", "8.70454255544237", "8.69862287926", "12.0250725449374", "12.8877429712969", "11.4798495273084", "12.3999600882007", "10.5352532679654", "9.50392169689592", "8.55101736847662"
"Angola", "AGO", "Military expenditure (% of GDP)", "MS.MIL.XPND.GD.ZS", "6.39260315427404", "4.52435381521461", "2.86993244512575", "3.76147907354734", "3.47118018672779", "3.69224094698531", "3.76149530543532", "3.11405449295742", "3.5731203644916", "4.70961004832051", "4.17758456553984", "3.25566035129376", "3.2366594992166", "4.45523942155109", "4.69845451564414", "3.1054262930828", "2.73334065530719", "2.50798545587522", "1.87177586619642", "1.64374028332038"
"Angola", "AGO", "Military expenditure (current LCU)", "MS.MIL.XPND.CN", "5859850000", "8917990000", "19096100000", "49987800000", "68297900000", "118977000000", "158350000000", "155900000000", "237375000000", "262671000000", "321743000000", "341875000000", "395680000000", "587869000000", "673000000000", "433216000000", "452356000000", "508175000000", "501224000000", "536216000000"
"Angola", "AGO", "Military expenditure (current USD)", "MS.MIL.XPND.CD", "583621333.598924", "404299139.990661", "438686245.411232", "670021164.432494", "817533582.152083", "1365055398.69044", "1970309115.18376", "2032432883.4343", "3163591147.40902", "3311193245.27722", "3500794836.44649", "3639496373.5446", "4144634851.46856", "6090751702.00884", "6846249313.34052", "3608299114.61674", "2764054937.15976", "3062872913.9838", "1983613748.00089", "1470938717.28754"
"Angola", "AGO", "Armed forces personnel (% of total labor force)", "MS.MIL.TOTL.TF.ZS", "1.75046215925392", "2.09765741405119", "1.53465666312347", "1.75230259300346", "1.53605411909184", "1.48249344844686", "1.33426262703696", "1.3690098069076", "1.31959406579676", "1.27041499897552", "1.22384028319455", "1.18062765597075", "1.13913402447288", "1.0988687944085", "1.06025943732847", "1.02283375830473", "0.987436182716879", "0.953609972054338", "0.920849375723152", ""
"Angola", "AGO", "Armed forces personnel, total", "MS.MIL.TOTL.P1", "117500", "145500", "110000", "130000", "118000", "118000", "110000", "117000", "117000", "117000", "117000", "117000", "117000", "117000", "117000", "117000", "117000", "117000", "117000", ""
"Angola", "AGO", "Arms imports (SIPRI trend indicator values)", "MS.MIL.MPRT.KD", "147000000", "156000000", "148000000", "48000000", "8000000", "39000000", "7000000", "31000000", "29000000", "20000000", "", "", "", "30000000", "2000000", "47000000", "152000000", "110000000", "272000000", "169000000"
"Angola", "AGO", "Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100)", "IQ.SPI.PIL5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "40", "40", "40", "40"
"Angola", "AGO", "Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100)", "IQ.SPI.PIL4", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "30.5666666666667", "28.1666666666667", "28.8666666666667", "28.8666666666667"
"Angola", "AGO", "Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)", "IQ.SPI.PIL3", "", "", "", "", "", "59.50625", "59.74375", "62.75", "65.2625", "63.95", "64.375", "69.23125", "68.15", "65.15", "66.4125", "67.33125", "70.44375", "70.88125", "69.99375", "68.5625"
"Angola", "AGO", "Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100)", "IQ.SPI.PIL2", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "7.66666666666667", "24.4", "57.3", "57.3"
"Angola", "AGO", "Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)", "IQ.SPI.PIL1", "", "", "", "", "20", "20", "20", "20", "20", "20", "40", "40", "40", "40", "20", "50", "70", "70", "80", "80"
